rank	root_iast	dcs_lemma	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
579	mṛch	mṛch	сталкиваются	flag	inflected,unknown	сталкиваться		сталкиваться:V:-:-			
580	ned	ned	производят сильный шум	flag	phrase,unknown			производить:V:-:- сильный:A:-:- шум:S:-:-			
582	riś	riś	отведаем	flag	inflected,unknown	отведать		отведать:V:-:-			
583	trap	trap	стыдишься	flag	inflected,unknown	стыдиться		стыдиться:V:-:-			
585	yas	yas	посвятив	flag	inflected,unknown	посвятить		посвятить:V:-:-			
586	yeṣ	yeṣ	клокочущий	flag	unknown			клокотать:V:-:-			
587	śas	śas	наставлению	flag	inflected,unknown	наставление		наставление:S:-:-			
589	śriṣ	śriṣ	прикрепить	flag	unknown			прикрепить:V:-:-			
590	śuj	śuj	разбухая	flag	inflected,unknown	разбухать		разбухать:V:-:-			
591	bhrī	bhrī	ранит	flag	inflected,unknown	ранить		ранить:V:-:-			
592	bhuraj	bhuraj	готовят	flag	inflected,unknown	готовить		готовить:V:-:-			
593	bhyas	bhyas	упражняется	flag	inflected,unknown	упражняться		упражняться:V:-:-			
594	cand	cand	покорного	flag	inflected,unknown	покорный		покорный:A:-:-			
595	dan	dan	водой	flag	inflected,unknown	вода		вода:S:-:-			
598	hūrch	hūrch	страдает	flag	inflected,unknown	страдать		страдать:V:-:-			
599	iradh	iradh	стремятся покорить	flag	phrase,unknown			стремиться:V:-:- покорить:V:-:-			
600	jri	jri	охват	flag	unknown			охват:S:-:-			
604	khud	khud	вталкивайте	flag	inflected,unknown	вталкивать		вталкивать:V:-:-			
605	kū	kū	где	flag	unknown			где:ADV:-:-			
606	kṣā	kṣā	землю	flag	inflected,unknown	земля		земля:S:-:-			
608	mrad	mrad	смягчи	flag	inflected,unknown	смягчить		смягчить:V:-:-			
610	mṛc	mṛc	смертельным оружием	flag	phrase,unknown			смертельный:A:-:- оружие:S:-:-			
611	mṛkṣ	mṛkṣ	скребнице	flag	inflected,unknown	скребница		скребница:S:-:-			
612	1 nu / 2 nu	nu	же	ok							
615	riph	riph	хрипящая	flag	unknown			хрипеть:V:-:-			
616	sku	sku	делает надрезы	flag	phrase,unknown			делать:V:-:- надрез:S:-:-			
619	svād	svād	становится вкусным	flag	phrase,unknown			становиться:V:-:- вкусный:A:-:-			
622	u	u	и	ok							
626	yakṣ	yakṣ	почтить	flag	unknown			почтить:V:-:-			
628	ścam	ścam	уймут	flag	inflected,unknown	унять		унять:V:-:-			
